HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,15.9,451,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,10.3,485,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,14.7,451,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,12,143.759259,6,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,20.5,448,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,12,143.759259,7,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,11.5,451,captivity,large,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,25.213145,526.0008,unknown,large,low,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,9.1,451,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,7.5,451,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304,304,15,143.759259,14,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,25.213145,526.0008,unknown,medium,low,0.18266,179.4495,11.830891,13187.90022,308.592247,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,48.1,0.151687,10.9,451,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchards cricket frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,1,0.151687,25.213145,526.0008,unknown,small,low,0.18266,179.4495,11.830891,13187.90022,308.592247,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,4.9,485,captivity,small,questionable,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,25.213145,526.0008,unknown,large,low,0.18266,179.4495,11.830891,13187.90022,308.592247,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,5.5,451,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,12.8,451,captivity,tiny,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,1010.475686,916.159624,83.225352,143.759259,145879.2187,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,22,451,captivity,small,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Copes gray treefrog,730,547,21,143.759259,35,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,7.8,485,captivity,medium,acceptable,0.18266,179.4495,11.830891,13187.90022,308.592247,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730,730,83.225352,143.759259,1222,1.463212,386.756225,11498.17283,54703.19159,218070.293,0.151687,25.213145,526.0008,unknown,medium,low,0.18266,179.4495,11.830891,13187.90022,308.592247,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
