HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
120,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,0,0,135,0,200,0,0,0,0,0,0,15.9,485,captivity,small,acceptable,0,0,0,0,0,485749
121,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,davidianus,Chinese giant salamander,0,0,55,0,500,0,0,0,0,0,0,19.9,485,captivity,small,questionable,0,0,0,0,0,485749
122,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,1825,1825,60,0,500,0,0,0,0,0,0,55,485,captivity,small,acceptable,0,0,0,0,0,2485749
123,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825,1825,72,0,275,0,0,0,0,358.1,0,29,528,wild,medium,acceptable,0,0,0.0253,358,288,37440528
124,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,boulengeri,Boulenger's oriental salamander,0,0,0,0,32,0,0,0,0,0,0,11.9,485,captivity,small,acceptable,0,0,0,0,0,2.30E+11
125,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,leechii,Chinese salamander,0,0,0,0,0,0,0,0,0,0,0,7.1,451,captivity,small,acceptable,0,0,0,0,0,451
126,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded salamander,0,0,0,0,0,0,0,0,0,0,0,14.2,485,captivity,medium,acceptable,0,0,0,0,0,485
127,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,retardatus,Japanese salamander,0,0,0,0,0,0,0,0,0,0,0,12.9,485,captivity,small,acceptable,0,0,0,0,0,485
128,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,0,0,0,0,0,0,0,0,0,0,0,17,525,wild,medium,acceptable,0,0,0,0,0,525
129,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,japonicus,Japanese clawed salamander,0,0,0,0,17,0,0,0,0,0,0,14.2,451,captivity,small,acceptable,0,0,0,0,0,451749
